vagrant@node1:~$ mpstat 2 10000
Linux 4.15.0-101-generic (node1) 	06/03/2020 	_x86_64_	(2 CPU)

03:22:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:26:33 AM  all    1.76    0.00    1.51    0.00    0.00    0.00    0.00    0.00    0.00   96.73
03:26:35 AM  all    1.01    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   98.23
03:26:37 AM  all    0.50    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   99.25
03:26:39 AM  all    3.81    0.00    3.55    0.00    0.00    0.00    0.00    0.00    0.00   92.64
03:26:41 AM  all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.49
03:26:43 AM  all    1.75    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   97.24
03:26:45 AM  all    0.76    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   97.73
03:26:47 AM  all    0.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.24
03:26:49 AM  all    4.29    0.00    2.53    0.00    0.00    0.00    0.00    0.00    0.00   93.18
03:26:51 AM  all    0.50    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.74
03:26:53 AM  all    0.76    0.00    1.51    0.00    0.00    0.25    0.00    0.00    0.00   97.48
03:26:55 AM  all    1.01    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   97.99
03:26:57 AM  all    1.01    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.24
03:26:59 AM  all    4.00    0.00    3.75    0.00    0.00    0.25    0.00    0.00    0.00   92.00
03:27:01 AM  all    0.76    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   98.74
03:27:03 AM  all    1.27    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   98.23
03:27:05 AM  all    1.01    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   98.24
03:27:07 AM  all    0.50    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   98.99
03:27:09 AM  all    3.78    0.00    2.77    0.25    0.00    0.25    0.00    0.00    0.00   92.95
03:27:11 AM  all    0.51    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:27:13 AM  all    0.76    0.00    1.52    0.00    0.00    0.00    0.00    0.00    0.00   97.73
03:27:15 AM  all    1.01    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   98.23
03:27:17 AM  all    0.51    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   98.74
03:27:19 AM  all    4.06    0.00    2.54    0.00    0.00    0.00    0.00    0.00    0.00   93.40
03:27:21 AM  all    1.00    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.25
03:27:23 AM  all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
